address,baths,beds,cars,link,price,solddate,type
"24 Brynner Street, McDowall", 1, 3, 1,/sold/property-house-qld-mcdowall-122727654,"$509,000",29 Jul 2016,house
"Lot 13/73 Landis Street, McDowall",,,,/sold/property-residential+land-qld-mcdowall-201388010,"$410,000",27 Jul 2016,residential land
"2 Crowe Close, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-122171074,"$775,000",25 Jul 2016,house
"1 Chico Place, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-122660118,"$590,000",08 Jul 2016,house
"Lot 9/ 73 Landis Street, McDowall",,,,/sold/property-residential+land-qld-mcdowall-201387974,"$380,000",30 Jun 2016,residential land
"1065 Rode Road, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-122576662,"$542,500",27 Jun 2016,house
"32 Speilberg Street, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-122620566,"$625,000",15 Jun 2016,house
"19 Pilbeam Place, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-122244154,"$480,000",13 Jun 2016,house
"42 Monroe Place, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-122327954,"$640,000",10 Jun 2016,house
"15 Dunaway Street, McDowall", 2, 3, 3,/sold/property-house-qld-mcdowall-122687950,"$546,000",03 Jun 2016,house
"112 Streisand Drive, McDowall", 2, 4, 4,/sold/property-house-qld-mcdowall-122184942,"$570,000",02 Jun 2016,house
"18 Goodman Close, McDowall", 2, 4, 3,/sold/property-house-qld-mcdowall-120963858,"$640,000",27 May 2016,house
"40 Streisand Drive, McDowall", 3, 5, 2,/sold/property-house-qld-mcdowall-122480622,"$700,000",23 May 2016,house
"15/960 Hamilton Road, McDowall", 2, 3, 1,/sold/property-townhouse-qld-mcdowall-122250022,"$374,000",10 May 2016,townhouse
"2 Hoffman Street, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-122226354,"$567,500",03 May 2016,house
"71 Van Dyke Cres, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-122037030,"$576,000",13 Apr 2016,house
"4 Landon Close, McDowall", 3, 5, 2,/sold/property-house-qld-mcdowall-121981302,"$870,580",08 Apr 2016,house
"29 Boulting Street, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-121995794,"$615,000",04 Apr 2016,house
"27 Matthau Place, McDowall", 2, 5, 2,/sold/property-house-qld-mcdowall-121813618,"$744,076",22 Mar 2016,house
"23 Lazenby Street, McDowall", 2, 4, 1,/sold/property-house-qld-mcdowall-121517030,"$465,000",18 Mar 2016,house
"36 Ustinov Crescent, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-121622514,"$655,000",07 Mar 2016,house
"15 Ford Cl, McDowall", 2, 5, 2,/sold/property-house-qld-mcdowall-121931186,"$758,000",04 Mar 2016,house
"11 Sinatra Crescent, McDowall", 1, 3, 1,/sold/property-house-qld-mcdowall-121434946,"$500,000",04 Mar 2016,house
"2 Kline Place, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-121506154,"$740,000",01 Mar 2016,house
"14 Wyngarde Street, McDowall", 3, 3, 2,/sold/property-house-qld-mcdowall-121496062,"$556,000",17 Feb 2016,house
"72 Beckett Road, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-121734254,"$475,600",16 Feb 2016,house
"35 Redford Crescent, McDowall", 3, 4, 3,/sold/property-house-qld-mcdowall-121421970,"$712,000",08 Feb 2016,house
"25 Cilento St, McDowall", 3, 3, 2,/sold/property-house-qld-mcdowall-121511098,"$580,000",28 Jan 2016,house
"8 Crowe Close, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-121365018,"$748,000",25 Jan 2016,house
"18 Borgnine St, McDowall", 3, 5, 4,/sold/property-house-qld-mcdowall-121618722,"$740,000",25 Jan 2016,house
"19 Andress Street, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-120932421,"$730,000",25 Jan 2016,house
"2 Poitier Street (16 Peppard St ), McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-121206834,"$646,400",15 Jan 2016,house
"6 Sabu Court, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-121357162,"$580,000",15 Jan 2016,house
