address,auctiondate,baths,beds,cars,link,openhouse,price
"Lot 33 Cnr Corkybark Drive & Collina Way,...",,,,,/property-residential+land-wa-kununurra-201535718,,"$167,000"
Lot 19 Cnr Corkybark Drive & Bluegrass Avenue...,,,,,/property-residential+land-wa-kununurra-201535710,,"$211,000"
"Lot 12 Cnr Corkybark Drive & Jasmine Lane,...",,,,,/property-residential+land-wa-kununurra-201535706,,"$211,000"
"Lot 10 Jasmine Lane, Coolibah Estate,...",,,,,/property-residential+land-wa-kununurra-201535702,,"$276,000"
"Lot 6 Lirata Pass, Coolibah Estate, Kununurra...",,,,,/property-residential+land-wa-kununurra-201535386,,"$399,000"
"186 Berkeley Crescent, Kununurra, WA 6743",,,2,,/property-other-wa-kununurra-7832638,,"From $379,000"
"8B Plum Court, Kununurra, WA 6743",,1,3,2,/property-house-wa-kununurra-123011162,,"$295,000"
"24 Argentea Avenue, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-122999954,,"$495,000"
"8 Kapok Court, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-107298302,,"$419,000"
"3 Koolparn Ct, Kununurra, WA 6743",,1,3,,/property-house-wa-kununurra-122932094,,"$299,000 REDUCED"
"House/21 Poinciana Street, Kununurra, WA 6743",,1,3,2,/property-house-wa-kununurra-122899910,,"$990,000"
"10 Pandanus Avenue, Kununurra, WA 6743",,1,4,2,/property-house-wa-kununurra-121304014,,"$230,000"
"12 Tamarind Meander, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-122800978,,"$469,000"
"Lot 190 Drysdale Approach, Kununurra, WA 6743",,,,,/property-other-wa-kununurra-7824414,,"$299,000"
"2 Koolparn Court, Kununurra, WA 6743",,2,4,1,/property-house-wa-kununurra-122689046,,"$425,000"
"638 Packsaddle Road, Kununurra, WA 6743",,4,8,6,/property-other-wa-kununurra-7824030,,"$1,950,000"
"14 Dianella Way, Kununurra, WA 6743",,1,2,,/property-other-wa-kununurra-122672202,,"$420,000 inc GST"
"1/12 Sorghum Place, Kununurra, WA 6743",,2,3,2,/property-house-wa-kununurra-122558310,,"$387,000 negotiable"
"11 Ghost Gum Street, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-122554306,,"$490,000"
"4 Sorghum Pl, Kununurra, WA 6743",,2,4,4,/property-house-wa-kununurra-122514422,,"$440,000"
"32 Gardenia Drive, Kununurra, WA 6743",,2,4,3,/property-house-wa-kununurra-122478346,,"$750,000"
"12/28 Coolibah Drive, Kununurra, WA 6743",,1,2,1,/property-house-wa-kununurra-122327438,,"$240,000"
"G7/16 Bandicoot Drive, Kununurra, WA 6743",,2,3,3,/property-apartment-wa-kununurra-122126226,,"$645,000"
"10 Sorghum Place, Kununurra, WA 6743",,1,3,3,/property-house-wa-kununurra-121839430,,"$349,000"
"32/11 Riverfig Avenue, Kununurra, WA 6743",,1,3,2,/property-house-wa-kununurra-118085283,,"$385,000"
"22 Sandalwood Street, Kununurra, WA 6743",,1,3,2,/property-house-wa-kununurra-121704158,,"$350,000"
"4 Spinifex Street, Kununurra, WA 6743",,1,3,4,/property-house-wa-kununurra-121680962,,"$375,000"
"Lot 11 Jasmine Lane, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201387930,,"$143,000"
"Lot 388 Nauclea Way, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201367482,,"$279,000"
"9B Miniata Street, Kununurra, WA 6743",,2,3,2,/property-house-wa-kununurra-120998254,,"$445,000"
"9 Poincettia Way, Kununurra, WA 6743",,2,3,2,/property-house-wa-kununurra-120586745,,"$680,000 ONO"
"Lot 33 Cnr Corkybark Way And Collina Way,...",,,,,/property-residential+land-wa-kununurra-201259789,,"$167,000"
"103 Weaber Plains Road, Kununurra, WA 6743",,3,7,,/property-acreage+semi+rural-wa-kununurra-119909249,,"$1,200,000.00"
"22 Livistona Street, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201141355,,"$169,500"
"Lot 414, Cnr Livistona Street and Phoenicea...",,,,,/property-residential+land-wa-kununurra-201120067,,"$145,000"
"Lot 15, Crn Bluegrass Ave & Lirata Pass,...",,,,,/property-residential+land-wa-kununurra-201093807,,"$211,000"
"Lot 323, Zamia Link, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-2958061,,"$156,000"
"114 Berkeley Crescent, Kununurra, WA 6743",,1,1,,/property-acreage+semi+rural-wa-kununurra-118876291,,"$465,000"
"H3/16 Bandicoot Drive, Kununurra, WA 6743",,2,2,2,/property-apartment-wa-kununurra-117843479,,"OFFERS FROM $440,000"
"Lot 412, Livistona Street, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-200912415,,"$140,000"
