address,baths,beds,cars,link,price,solddate,type
"1/90 Cowin Street, Diamond Creek", 1, 2, 1,/sold/property-unit-vic-diamond+creek-123496674,"$420,000",06 Sep 2016,unit
"lot 22 Aspiration Rise, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201483682,"$430,000",05 Sep 2016,residential land
"4 Sidney Nolan Place, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123273898,"$890,000",03 Sep 2016,house
"407 Ryans Road, Diamond Creek", 1, 2, 2,/sold/property-house-vic-diamond+creek-123293598,"$480,000",03 Sep 2016,house
"15 Lotus Court, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201562654,"$360,000",03 Sep 2016,residential land
"2 Ryan Street, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201585990,"$302,000",31 Aug 2016,residential land
"31 Juane Park Drive, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123240674,"$925,000",30 Aug 2016,house
"4/31-33 Haley Street, Diamond Creek", 2, 3, 1,/sold/property-unit-vic-diamond+creek-123315914,"$515,000",26 Aug 2016,unit
"20 Discovery Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201542502,"$417,000",24 Aug 2016,residential land
"39 Phipps Crescent, Diamond Creek", 1, 2, 1,/sold/property-house-vic-diamond+creek-123095174,"$400,000",24 Aug 2016,house
"18 Hickory Downs Place, Diamond Creek", 2, 4, 10,/sold/property-house-vic-diamond+creek-123199730,"$1,250,000",22 Aug 2016,house
"15 Fyffe Street, Diamond Creek", 1, 2, 0,/sold/property-house-vic-diamond+creek-122999982,"$371,000",15 Aug 2016,house
"4 Candlebark Close, Diamond Creek", 2, 5, 2,/sold/property-house-vic-diamond+creek-123147278,"$990,000",13 Aug 2016,house
"L8, 61 Grassy Flat Road, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201590982,"$475,000",11 Aug 2016,residential land
"76 Clyde Street, Diamond Creek", 2, 3, 0,/sold/property-house-vic-diamond+creek-123215330,"$633,500",09 Aug 2016,house
"10 Emu Court (Lot 18), Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201496570,"$432,000",04 Aug 2016,residential land
"Address available on request, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201553030,"$450,000",02 Aug 2016,residential land
"98 Oronsay Crescent, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-123086874,"$600,000",28 Jul 2016,house
"10 Knightsbridge Place, Diamond Creek", 2, 4, 3,/sold/property-house-vic-diamond+creek-123189286,"$905,000",26 Jul 2016,house
"26 Penton Court, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123007314,"$676,000",25 Jul 2016,house
"90 Old Diamond Creek Road, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-122751350,"$850,000",21 Jul 2016,house
